state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AR,2017,2628543548979,0,294330920486,173143700,12691079,1051011331564,30893,60775298,0
AZ,2017,3139613856729,0,683189145830,295906990,32340138,38730132521,4941957,105851721,569934
CA,2017,29109245796,11559591,42363141407454,883501331408335,17901079,28409972967465,24352915,206146392,12822857
CO,2017,292422167249,0,1897228326652,125322420,0,7485290994,954498,53844006,9314667
CT,2017,197509178437,0,3321871797,159612570,16499621,584313208075,39866,34562654,12706
DC,2017,0,0,0,197040,0,471670,0,66871,0
DE,2017,35879725413,0,0,6723188270513,0,628150,50285,7495976,4965
FL,2017,375127621462884,0,2182990,1611042954904,29146219,27848792224315,876432,238413149,0
GA,2017,32487058282775,0,24097491247579,527225640,33708805,3527284665608,1986272,127455376,0
HI,2017,13757246633596,322592,660750,52022,0,2927620,174101,9812050,532055
IA,2017,25358230146719,0,10339400,45674470,5213509,2078591890,4838,57909566,21372752
ID,2017,23837170,84436,106704090,30794070,0,116755348647,459345,17396024,2544675
IL,2017,5798028651146,0,1251310,15016016180098,97191142,4740580,52147,183591377,12267766
IN,2017,72384957125323,0,3060800,179759171990999,0,4734030,277675,98929818,5089390
KS,2017,1938977154518,0,292180,21465630,10647987,571630,5280,50933305,18598073
KY,2017,57236509497770,0,45060180,103796280,0,114487380203,19885,73179196,0
LA,2017,123159254569753,0,9062370,589728462143065,15409745,877842679085,2418,97719207,0
MA,2017,1136318265507,0,1037491443012,221528050,5047170,1029589130813,788476,32204364,232622
MD,2017,8514009102181,0,19654590,67291740,15106988,415940120338,267090,34104239,561349
ME,2017,67935132391,0,33887770,22370680,0,1745992528927,5436,11264280,2332853
MI,2017,420205481116511,0,1678957674759,261306581652167,32381192,9858551508262,63304,112313501,5191273
MN,2017,2278189835152,0,12577020,67075920,13904351,6368931296091,596124,58748841,11137272
MO,2017,6751894360719,0,118158099724,52058670,8304127,8783556364,56188,84607312,2032318
MS,2017,462823011460,0,0,461584730,7364648,152251461823,85923,59727637,0
MT,2017,13864099458653,0,109464610,41652113740,0,21182,13633,28220946,2154823
NC,2017,34460167251382,0,38180170,385897940,42374264,6948292117424,5114235,128468235,470743
ND,2017,2675646535727,0,25821070,67603142212,0,19960,0,41505074,11359233
NE,2017,211735635641,0,14890580,6293450,6912737,972870,15333,35407047,5084084
NH,2017,287281104896,0,14134020,35801030,9990704,1380271472152,0,17446841,411592
NJ,2017,1216091156364,0,13633161819,37707848219492,34032698,9287770,925997,75644513,22447
NM,2017,1841448340850,12963,1932490,91316550,0,175880,1192641,33597413,4594571
NV,2017,18655928746,3291874,18127000,266259040,0,576810,4145867,38201294,361364
NY,2017,770296597893,0,30144932415671,472717800,42167409,1666051619955,182800,128065103,4135951
OH,2017,683436361241106,0,2773490,28799379785851,17687789,469137257785,105178,119552140,1588560
OK,2017,1736785416054,0,2036200117610,304506790,0,67927230818,32582,73731764,23598843
OR,2017,172810510394,174381,382939380,150663790,0,361329619331,194052,62713747,6226593
PA,2017,47634271355418,0,3123316605294,72503448446078,83199832,1915767522388,69616,213639299,3590565
RI,2017,58408,0,23720,71881920,0,2029840,14083,7614941,148902
SC,2017,1815174597651,0,18350391024829,171563350,54344554,1714482228270,79522,93080948,0
SD,2017,20624623031,0,52555200,6543480,0,0,2056,10935719,2958302
TN,2017,27715284123659,0,8691134686154,1026854011648,31817502,96515851160,92342,79046397,43327
TX,2017,134648358163711,0,10619970,2045119962471966,38581401,668607908357,2189127,452794463,67061094
US-Total,2017,120583527521389958,15926765,3003331566494548,129641469212468967,804949635,2160989141151779,53286174,4034268431,254302662
UT,2017,2638956738413,480928,12937150,587085216409,0,776690,2211105,37411876,858252
VA,2017,10726422456125,0,11163551277795,445070880,30553734,9074042901475,313221,90417351,0
VT,2017,7133,0,12803680,18070,0,11882435991,98801,2141388,305406
WA,2017,548950323116,0,821828552995,10849269355925,8128259,3279701570603,481,115912028,6925111
WI,2017,35852222144391,0,26574530,136552390,9648979,582312877597,21465,65107103,1640687
WV,2017,68349009119780,0,16584920,152672834476,0,0,0,73357080,1682341
WY,2017,4006856643846,0,11236240,778989360236,0,0,0,46741846,4320655
